slug,published,recoverable_via_parked_source_url
1x3-blanket-ladder,false,true
2x-wood-rolling-shelf,false,true
2x4-truss-farm-bench,false,true
3-tier-can-organizer,false,true
4x4-x-base-pedestal-table,false,true
4x8-chicken-coop,false,false
adirondack-chair,false,false
adirondack-outdoor-coffee-table,false,true
apothecary-coffee-table-toybox-trundle,false,true
apothecary-console,false,true
balustrade-coffee-table,false,true
barn-bird-house-and-feeder,false,false
barn-door-appliance-cabinet,false,true
barn-door-bookcase,false,true
barn-door-cabinet-with-hooks,false,true
barn-door-entertainment-center,false,true
bench-with-shelf-scrap-wood-top,false,true
benchwright-console-table,false,true
better-bee-house,false,false
board-and-batten-twin-bed,false,true
bristol-outdoor-lounge-chair,false,true
budget-panel-bed,false,true
built-in-bookcases,false,false
cabinet-door-paper-towel-organizer,false,true
cabinet-style-farmhouse-nightstand,false,true
cabinet-style-kitchen-island-wine-grid,false,true
campaign-style-storage-box,false,false
camper-napkin-holder,false,false
catch-all-tray,false,false
cedar-mailbox-with-corbels,false,false
cedar-planter-box,false,false
cedar-raised-garden-bed,false,false
cedar-raised-planter-with-shelf,false,true
channing-desk-hutch,false,true
charlie-nightstand,false,false
cherry-serving-board-with-juice-groove,false,false
christmas-tree-card-holder,false,true
christmas-tree-decor-pallet-fence-picket,false,true
chunky-leg-console-table,false,true
chunky-leg-side-table,false,true
circle-cutting-jig,false,false
classic-cubby-nightstand,false,true
classic-picnic-table,false,false
closet-mudroom-hinged-boot-bench,false,true
clubhouse-bed-twin,false,true
corner-desk,false,false
corona-coffee-table-square,false,true
counter-height-fancy-x-farmhouse-table,false,true
countertop-pie-safe,false,true
country-shoe-bench,false,true
crosscut-sled,false,false
cubby-desk-drawer,false,true
cube-drawer-bench,false,true
cupcake-tiered-display-stand,false,true
custom-laminated-canoe-paddle,false,false
cutting-board-storage-rack,false,false
dachshund-cd-holder,false,false
demilune-dining-table,false,false
desk-with-drawer-and-shelving,false,true
desk-with-file-cubby-drawers,false,true
diy-art-easel-for-kids,false,true
diy-buffet-table,false,false
diy-mod-clock,false,false
diy-modern-farmhouse-nightstand,false,true
diy-router-table,false,false
diy-wooden-tool-box,false,false
double-trestle-play-table,false,true
dovetailed-keepsake-box,false,false
dress-up-center-no-cutting,false,true
dresser-open-bottom-shelf-open-leg,false,true
edge-grain-maple-cutting-board,false,false
end-grain-walnut-maple-butcher-block,false,false
entryway-storage-bench,false,false
essential-entryway-shelf-hooks,false,true
extra-wide-media-storage-wall,false,true
farmhouse-counter-stools,false,true
farmhouse-dining-table,false,false
farmhouse-indoor-playhouse,false,true
farmhouse-potting-bench,false,true
fenced-garden-enclosure,false,true
fillman-platform-twin-bed,false,true
fire-station-loft-bed,false,true
floating-walnut-shelves,false,false
floor-standing-headboard,false,false
fold-down-serving-station,false,true
folding-guitar-stand,false,false
footed-charcuterie-board,false,false
four-dollar-stackable-kids-chairs,false,true
full-depth-storage-daybed,false,true
full-length-plate-rack,false,true
garden-arbor-bench,false,false
garden-bench,false,true
garden-storage-shed,false,false
grill-caddy-paper-towel-holder,false,true
henry-bookshelf,false,true
hidden-desk-apothecary-cabinet,false,true
homestead-bench,false,false
homestead-console-table,false,false
homestead-end-table,false,false
house-bed-twin,false,true
how-to-make-a-corner-clamp,false,false
in-drawer-knife-block,false,true
jacobs-ladder-toy,false,false
kentwood-bed,false,true
kentwood-nightstand,false,true
kids-adirondack-chair,false,true
kids-play-table-paper-roll-holder,false,true
kids-pretend-play-vendor-cart,false,true
kids-storage-leg-desk,false,true
kids-storage-step-stool,false,true
kids-toolbox,false,false
kitchen-cabinet-2x4-base,false,true
large-4-drawer-dresser,false,true
large-dog-house,false,false
large-firewood-box,false,true
large-square-wall-cubby-organizer,false,true
large-three-sided-outdoor-bar,false,false
laundry-basket-organizer-tower,false,true
leaning-wall-shelf,false,true
leopold-bench,false,false
lightweight-instant-closet-rack,false,true
little-cottage-loft-bed,false,true
live-edge-coffee-table,false,false
long-modern-media-console,false,true
long-wood-bench-dining,false,true
low-rise-candle-holder,false,false
magnetic-knife-block,false,false
mail-organizer-cabinet,false,true
matts-media-tower,false,false
max-storage-caster-dresser,false,true
media-console-board-and-batten,false,true
media-hutch-basic-collection,false,true
michaelas-kitchen-island,false,true
midcentury-bar-console-cabinet,false,true
mimis-narrow-hall-tree-hutch,false,true
minimal-waste-shop-hutch,false,true
mirrored-pinboard-changing-screen,false,true
modern-backless-bench-2x6,false,true
modern-cutout-nightstand,false,true
modern-farmhouse-coffee-table,false,true
modern-geo-headboard,false,true
modern-industrial-bookshelf-wheels,false,true
modern-kids-bookrack,false,true
modern-nesting-tables,false,false
modern-outdoor-patio-table,false,true
modern-platform-bed-chunky-legs,false,true
modern-platform-bed-frame-all-sizes,false,true
modern-tall-dresser,false,false
modern-vertical-slat-console,false,true
modern-wood-side-table,false,true
multi-guitar-stand,false,false
narrow-console-table-super-simple,false,true
nativity-stable-fence-picket,false,true
nesting-cutting-boards-and-egg-holder,false,false
nightstand-with-drawer,false,false
oak-coat-rack,false,false
office-corner-desktop,false,true
ombre-cutting-board,false,false
one-board-magazine-rack,false,false
open-end-kitchen-wall-shelf,false,true
open-shelf-console-table,false,false
outdoor-bench-with-arbor,false,true
outdoor-chair-modern-comfort,false,true
outdoor-grill-cart,false,false
parson-tower-desk,false,true
perfect-console-bookshelf,false,true
pergola-outdoor-room,false,true
pine-and-plain-rectangle-coffee-table,false,true
pine-bookcase,false,false
plant-stand-beverage-bucket-stand,false,true
plant-stand-magazine-rack,false,false
platform-bed-frame-queen,false,false
plywood-jewelry-box,false,false
plywood-picture-frame,false,false
portable-tool-rack,false,false
pvc-window-box,false,false
rhyan-console-table,false,true
rhyan-end-table,false,true
rip-jig-for-circular-saw,false,true
rolling-lumber-cart,false,false
rolling-potting-island,false,true
rolling-shop-cart,false,false
room-divider-closet,false,true
rotating-standing-photo-display,false,true
rotating-wall-calendar-shelf,false,true
router-table-fence,false,false
rustic-farmhouse-round-coffee-table,false,true
rustic-kitchen-island,false,true
salt-pepper-shakers,false,false
seed-starter-grow-light-stand,false,true
shaker-step-stool,false,false
side-base-cabinets,false,true
side-hutches-board-and-batten,false,true
side-street-modern-bunk-beds,false,true
simple-1x6-storage-shelf,false,true
simple-2x-lumber-hall-tree,false,true
simple-bat-house,false,false
simple-closet-organizer,false,true
simple-end-of-bed-storage-bench,false,true
simple-frame-flips-to-chess-board,false,true
simple-hall-table,false,true
simple-hanging-plant-stand-2x4,false,true
simple-play-kitchen-narrow-fridge,false,true
simple-step-stool-straight-legs,false,true
small-coffee-table-super-simple,false,true
small-modern-desk-keyboard-stand,false,true
small-square-farmhouse-table,false,false
space-saving-wall-bike-rack,false,true
spice-drawer-organizer,false,false
stackable-wood-cake-stand,false,true
stacking-sawhorses,false,false
storage-bed-with-drawers-king,false,true
tall-bench-seat-with-footrest,false,true
timeless-storage-bed-12-drawers,false,true
tongue-and-groove-ottoman-tray,false,true
toy-sink-running-water,false,false
trellis-planter,false,false
triple-pedestal-farmhouse-table,false,true
tryde-coffee-table,false,true
turned-pepper-mill,false,false
vintage-toddler-bed,false,true
wall-mounted-boot-rack,false,true
wall-mounted-clamp-rack,false,false
wall-mounted-drop-leaf-table,false,false
wall-mounted-rifle-storage-rack,false,true
wall-mounted-tool-cabinet,false,false
waterfall-framed-grand-console-table,false,true
wide-dresser-open-bottom-shelf,false,true
wide-entryway-console-open-shelves,false,true
wood-christmas-tree-shelf,false,true
wood-lantern,false,true
wood-slat-low-shelving-unit,false,true
wood-sleigh-decor,false,true
wood-step-stool-splayed-legs,false,true
wooden-centerpiece-tray,false,false
wooden-gear-wall-clock,false,false
workbench-with-hutch,false,false
workbench-with-vise,false,false
woven-back-bench,false,true
